CODIGO,CLIENTE,TAREFA,OBSERVACAO,CONCLUSAO
368,03R GAMA - 08.959.916/0001-85,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
55,06/A CAS - ASSOCIACAO POR DO SOL - 04.909.194/0001-01,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
26,10 CAAC - RESIDENCIAL LIRIOS DO VALLE - 07.833.042/0001-52,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
4,10 SHA - VEREDAS - 12.865.490/0001-78,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
59,113 SHVP - RESIDENCIAL ESPERANCA - 05.382.942/0001-03,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
67,131/A SHVP - RESIDENCIAL SUMMER VILLE - 13.727.838/0001-23,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
75,131/B SHVP - RESIDENCIAL SUMMER VILLE - 13.769.524/0001-93,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
80,139 SHVP - RESIDENCIAL SONHO VERDE - 05.939.805/0001-19,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
94,140 SHVP - RESIDENCIAL CANAA COLIBRI - 04.696.674/0001-23,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
490,141/1 SHVP - 04.101.825/0001-53,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
98,154/2 SHVP - RESIDENCIAL DAS PALMEIRAS - 03.922.573/0001-60,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
105,157 SHVP - 04.328.611/0001-14,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
5,16 CAVC - RESIDENCIAL BOSQUE DOURADO - 10.225.850/0001-41,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
270,16 GAMA - RESIDENCIAL YPE - 11.011.168/0001-19,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
30,16/A CAAC -RESIDENCIAL RECANTO DOS PASSAROS - 05.809.482/0001-49,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
147,160 SHVP - RESIDENCIAL DAS PALMEIRAS - 07.359.699/0001-20,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
158,166 SHVP - 13.149.863/0001-77,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
159,170 SHVP - RESIDENCIAL DRUMMOND - 03.263.643/0001-16,4.1.01 LANCAMENTOS AVULSOS,,23/09/2024
168,178 SHVP - RESIDENCIAL METROPOLITAN - 05.267.098/0001-61,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
179,179/B SHVP - RESIDENCIAL MORADA NOVA - 07.322.512/0001-13,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
7,18/A CAVC - 05.781.656/0001-02,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
180,186 SHVP - CONDOMINIO RESIDENCIAL NOSSO LAR - 07.304.866/0001-35,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
181,187 SHVP - CONDOMINIO JARDINS - 04.359.806/0001-21,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
182,192 SHVP - RESIDENCIAL AGAPE - 14.299.616/0001-10,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
190,203 SHVP - RESIDENCIAL ESPERANCA - 05.398.114/0001-55,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
8,21 SHA - RESIDENCIAL BRASILIA - 13.164.754/0001-29,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
191,215 SHVP - RESIDENCIAL PREMIUM - 13.028.989/0001-93,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
198,218 SHVP - RECANTO DOS IPES - 05.578.233/0001-90,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
15,22/A SHA - RESIDENCIAL ATIAIA - 07.245.752/0001-61,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
199,220 SHVP - RESIDENCIAL PALMARES - 07.402.468/0001-51,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
95,231 SHVP - PORTAL DO SOL - 05.432.983/0001-59,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
99,233 SHVP - CONDOMINIO RESIDENCIAL VEDANA - 06.294.762/0001-24,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
100,242 SHVP - RESIDENCIAL TOPAZIO - 05.801.811/0001-05,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
106,243 SHVP - RESIDENCIAL FENIX - 05.682.416/0001-50,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
107,245 SHVP - 04.684.618/0001-79,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
437,25 CAS - PARQUE DAS PRIMAVERAS - 03.474.040/0001-63,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
108,250 SHVP - RESIDENCIAL FENIX - 04.022.510/0001-10,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
109,256 SHVP - 04.720.890/0001-67,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
426,259 SHVP - 04.178.400/0001-42,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
422,26 SHA - 05.364.601/0001-05,4.1.01 LANCAMENTOS AVULSOS,,17/09/2024
111,262 SHVP - RESIDENCIAL ENCONTRO DAS AGUAS - 04.656.375/0001-65,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
112,267 SHVP  - RESIDENCIAL CALLIANDRA - 05.128.523/0001-31,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
113,268 SHVP - RESIDENCIAL ROTA DO SOL - 03.146.458/0001-41,4.1.01 LANCAMENTOS AVULSOS,,30/09/2024
16,27/B SHVP - 10.736.647/0001-30,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
114,272 SHVP - RESIDENCIAL BELLA LUNA - 05.474.286/0001-60,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
115,273 SHVP - 03.547.256/0001-01,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
116,274 SHVP - 04.551.203/0001-27,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
119,284 SHVP - CONDOMINIO RESIDENCIAL BEIJA-FLOR - 12.035.460/0001-34,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
415,285 SHVP - 05.672.990/0001-28,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
120,288 SHVP - RESIDENCIAL IMPERIAL - 04.730.266/0001-40,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
121,291 SHVP - RESIDENCIAL FLORES DE MAIO - 04.828.788/0001-80,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
416,30 CAAC - RESIDENCIAL GUARA PARK - 04.990.109/0001-74,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
122,304 SHVP - 12.544.412/0001-71,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
200,308 SHVP - RESIDENCIAL ALVORADA VILLE - 11.835.367/0001-41,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
535,312 SHVP - 04.008.664/0001-58,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
211,317 SHVP - 07.329.861/0001-67,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
36,32 CAAC  - RESIDENCIAL BURITIS - 05.311.616/0001-05,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
470,327/1 SHVP - 04.395.230/0001-58,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
58,34 CAS - RESIDENCIAL VERDES VALES - 05.128.385/0001-90,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
42,40 CAAC - RESIDENCIAL SAO GABRIEL - 05.694.255/0001-15,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
21,42 SHVP -  RESIDENCIAL ILHA BELA - 12.551.947/0001-70,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
22,46 SHA - RESIDENCIAL RECANTO DOS SONHOS - 05.212.909/0001-27,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
24,47 SHVP - 05.499.939/0001-66,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
25,48 SHVP - RESIDENCIAL VILLA LOBOS - 12.288.788/0001-62,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
28,52 SHVP - 07.575.868/0001-69,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
